Time Posted,"Image URL","Views","Reach","Replies","Back","Forward","Exited","Completion Rate","Avg. Views/User"
"Oct 14, 2025 10:57:43 AM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3743371374292327468_17841400918126378-cfac7eaffd7e68.jpg","508","415","0","30","384","18","96%","1"
"Oct 14, 2025 10:55:29 AM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3743370276844324054_17841400918126378-a0d3dce57aa857.jpg","589","470","0","10","354","42","93%","1"
"Oct 13, 2025 11:46:50 AM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3742671345248512490_17841400918126378-68a3ea9d158a74.jpg","295","277","0","2","189","47","84%","1"
"Oct 10, 2025 05:13:31 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3740661422616628972_17841400918126378-982770b09db76e.jpg","328","264","1","13","218","40","88%","1"
"Oct 10, 2025 05:13:09 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3740661246665613800_17841400918126378-92916c1b88641f.jpg","328","276","0","22","252","16","95%","1"
"Oct 10, 2025 05:13:03 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3740661202113709779_17841400918126378-d7b17cc1e73ea0.jpg","379","303","1","13","266","30","92%","1"
"Oct 10, 2025 01:21:23 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3740544597744570044_17841400918126378-871eeb99562c4e.jpg","287","251","0","4","227","29","90%","1"
"Oct 10, 2025 01:20:21 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3740544061376996742_17841400918126378-332c983200ab8d.jpg","296","261","0","15","242","15","95%","1"
"Oct 10, 2025 01:20:06 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3740543946033599762_17841400918126378-63bb71dbfbdea2.jpg","306","271","0","5","223","13","96%","1"
"Oct 10, 2025 11:57:10 AM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3740502218354356897_17841400918126378-15723dad4e8e9b.jpg","352","312","0","5","232","23","93%","1"
"Oct 9, 2025 05:28:21 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3739944126982056033_17841400918126378-621119ddc74eaa.jpg","638","513","1","41","361","43","93%","1"
"Oct 9, 2025 05:27:36 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3739943748848757213_17841400918126378-aa582850addcfd.jpg","674","576","1","15","388","22","97%","1"
"Oct 9, 2025 03:22:03 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3739880545049569288_17841400918126378-fac6590fa78bed.jpg","493","426","0","19","359","37","92%","1"
"Oct 9, 2025 09:37:14 AM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3739707007298614833_17841400918126378-545a3e731abaac.jpg","493","438","0","5","343","39","92%","1"
"Oct 8, 2025 05:02:01 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3739206093827669981_17841400918126378-1cbbe250cc3890.jpg","281","258","1","7","212","31","89%","1"
"Oct 8, 2025 05:01:48 PM","https://lg-image-prod.s3.us-east-1.amazonaws.com/ig-analytics/3739205972176066158_17841400918126378-b5bec64e87f30f.jpg","335","298","0","12","243","19","94%","1"
